gps_seconds[s]	panorama_file_name	latitude[deg]	longitude[deg]	altitude_ellipsoidal[m]	roll[deg]	pitch[deg]	heading[deg]
1142601245.92951	pano_0000_000265	52.3522997108703	4.94522033925307	38.6084971316159	1.57304902016741	0.568512537519153	314.388403776942
1142601246.76949	pano_0000_000266	52.3522674618137	4.94527390676604	38.6215387722477	1.26417496266899	0.284470450717377	314.944255552088
1142601247.62459	pano_0000_000267	52.3522353744943	4.945327430667	38.6164976507425	1.93641001457424	-0.0825059839406778	315.305334572221
1142601248.51456	pano_0000_000268	52.3522026826953	4.94537997079149	38.6418531620875	1.87493674979587	0.599960927461668	316.344019884971
1142601249.45453	pano_0000_000269	52.3521695198999	4.94543130570229	38.6769407736138	1.01398770870986	-0.0602082743982486	316.8227489275
1142601250.42457	pano_0000_000270	52.3521365628666	4.94548278021432	38.6951723247766	1.4657757872241	0.477709204390083	316.921227896078
1142601251.39453	pano_0000_000271	52.352103711591	4.94553402620993	38.69496710971	1.58041251757977	0.667906091980423	316.81881432819
1142601252.37454	pano_0000_000272	52.3520709625082	4.94558535001192	38.7015683585778	1.75315982604298	0.512249378229258	316.653064145041
1142601253.36449	pano_0000_000273	52.3520383109999	4.94563649362785	38.7145414883271	1.67243921828059	0.741852563073255	316.558330364454
1142601254.35451	pano_0000_000274	52.3520055470009	4.94568699238395	38.7236683694646	1.67229224337063	0.707087710196631	317.272716840686
1142601255.3245	pano_0000_000275	52.351972599501	4.945736754802	38.7259553419426	2.28097185473441	0.632878892278887	317.998994441683
1142601256.2794	pano_0000_000276	52.3519393144583	4.94578548966152	38.7333876760677	2.19903792068826	0.272616469987088	318.58345067805
1142601257.2794	pano_0000_000277	52.3519057158113	4.94583362599302	38.7351244548336	1.14850152642817	0.316952279812968	318.61917134533
1142601258.37449	pano_0000_000278	52.3518725905309	4.94588205551749	38.7874851943925	0.202866877522643	-1.55046947221619	317.658786727314
1142601259.53442	pano_0000_000279	52.3518406884157	4.94593206784001	38.7587247276679	0.529006600332337	1.00511009766124	316.204539379451
1142601260.68445	pano_0000_000280	52.3518070720892	4.94597977304013	38.7771095223725	0.346943192550873	0.334927356929563	321.939138606234
1142601261.78933	pano_0000_000281	52.3517730307986	4.94602675763665	38.802656698972	0.668663440232503	-0.0138819483724963	319.047301663657
1142601262.84439	pano_0000_000282	52.3517410577718	4.94607704788995	38.8167811771855	0.765048248683542	0.316115494462666	315.493728601677
1142601263.88931	pano_0000_000283	52.3517104089628	4.94612922383761	38.8080857675523	0.143109394404903	0.624091209164086	313.453313167306
1142601264.88438	pano_0000_000284	52.3516809994652	4.94618360000356	38.7746352767572	0.846053463671454	1.11525885303333	311.862249165801
1142601265.93438	pano_0000_000285	52.3516504147022	4.94623632276559	38.7880244115368	1.35398748109942	0.309902404486354	315.659643697132
1142601267.1493	pano_0000_000286	52.351616477326	4.94628262502153	38.8002301054075	1.27252758436477	0.753528026612687	323.987808003889
1142601268.98433	pano_0000_000287	52.3515783512839	4.9463135883493	38.8276805048808	-1.99949658364321	0.242139492584486	333.821842578805
1142601271.29433	pano_0000_000288	52.3515451715207	4.94634088113101	38.9741542143747	-1.10818617475146	-0.236224975983232	334.066066888563
1142601273.27432	pano_0000_000289	52.3515101690131	4.94636944626014	38.9918092368171	1.55446773724787	2.56146061850347	337.75274024031
1142601274.85426	pano_0000_000290	52.3514704074181	4.94636124586385	38.9603318851441	-0.204870170332919	0.0573387788704898	21.7905325737615
1142601276.00931	pano_0000_000291	52.3514388382002	4.9463152843289	38.9612347697839	-1.0378985627995	-0.0174834491146492	44.0951945691785
1142601276.90923	pano_0000_000292	52.3514096056226	4.94626432916116	38.9567581927404	-1.14513260955903	0.541122227437575	45.9052153224251
1142601277.69426	pano_0000_000293	52.3513794508148	4.94621295953368	38.9438857669011	-0.887833993744399	0.316444657345893	46.056984841838
1142601278.39922	pano_0000_000294	52.3513492181159	4.94616124292771	38.9462046604604	-0.748669261322008	0.293440838661911	46.1290623684781
1142601279.04914	pano_0000_000295	52.3513188624409	4.94610929069941	38.9435089183971	-0.76674523475692	0.237119006679912	46.195211477861
1142601279.65914	pano_0000_000296	52.3512883962217	4.94605669076882	38.9389490485191	-1.01783017061118	0.399066043557759	46.4313951372666
1142601280.23419	pano_0000_000297	52.3512580795655	4.9460040192517	38.9327657595277	-1.07430418467956	0.312501383924867	46.7272537939615
1142601280.78415	pano_0000_000298	52.3512277238221	4.94595093545894	38.9340795641765	-1.29407478019731	0.275659333821918	46.8220816342938
1142601281.30914	pano_0000_000299	52.351197335224	4.94589829756465	38.938137376681	-1.39861715452304	0.286474627085279	46.4693889868586
1142601281.81913	pano_0000_000300	52.351166666733	4.94584560182053	38.9332112735137	-1.54839210836363	0.689513257741469	46.2912140179376
1142601282.32911	pano_0000_000301	52.3511360219253	4.94579328534439	38.9247684888542	-1.71946156059954	0.619144661456692	46.1056538027024
1142601282.84414	pano_0000_000302	52.3511052970164	4.94574105241084	38.9265624862164	-1.80694831956862	0.441820794898973	46.0729857540784
1142601283.35927	pano_0000_000303	52.3510745099097	4.94568882756522	38.9293243587017	-1.78448931914773	0.549880965124973	46.0304890819358
1142601283.87412	pano_0000_000304	52.3510435076778	4.94563663408706	38.9302917830646	-1.49524145126421	0.541912989420013	45.95935335112
1142601284.38413	pano_0000_000305	52.3510127102669	4.94558474430334	38.9252595044672	-1.42448397640248	0.691200936235183	45.9293050090384
1142601284.89413	pano_0000_000306	52.350981910139	4.94553298015491	38.9243852095678	-1.30375734546154	0.418666436723774	45.9554420209576
1142601285.40908	pano_0000_000307	52.3509510797921	4.94548092984077	38.9383377842605	-1.6765066524461	0.588153799997754	45.8387743081017
1142601285.93411	pano_0000_000308	52.3509200705184	4.94542893432509	38.9483086923137	-1.72722586140008	0.549032106200361	45.7634038504265
1142601286.46908	pano_0000_000309	52.3508888628522	4.94537677648893	38.95545363985	-1.70723099701711	0.666817236918017	45.7337465682327
